Concept,Auditory,Gustatory,Haptic,Olfactory,Visual
academy,1.41176470588235,0.0588235294117647,0.47058823529411803,0.11764705882352901,2.70588235294118
account,1.70588235294118,0.11764705882352901,0.35294117647058804,0.23529411764705901,1.41176470588235
addition,1.29411764705882,0.47058823529411803,0.8823529411764711,0.647058823529412,3.05882352941176
administration,1.75,0.0625,0.5,0.25,2.625
advantage,1.70588235294118,0.35294117647058804,0.529411764705882,0.47058823529411803,3.11764705882353
aim,1.41176470588235,0.23529411764705901,1.1176470588235299,0.47058823529411803,2.64705882352941
air,1.05882352941176,1.47058823529412,2.11764705882353,2.52941176470588,1.35294117647059
amount,2.0,1.64705882352941,3.11764705882353,1.35294117647059,4.05882352941176
appeal,2.29411764705882,1.41176470588235,1.23529411764706,1.29411764705882,3.29411764705882
arrangement,1.82352941176471,0.29411764705882404,1.47058823529412,0.47058823529411803,3.41176470588235
baby,4.23529411764706,0.8235294117647061,3.64705882352941,3.11764705882353,4.88235294117647
back,0.647058823529412,0.29411764705882404,2.94117647058824,0.529411764705882,3.94117647058824
balance,1.23529411764706,0.41176470588235303,1.76470588235294,0.29411764705882404,2.94117647058824
bank,1.29411764705882,0.0588235294117647,1.23529411764706,0.29411764705882404,4.41176470588235
bear,3.11764705882353,0.47058823529411803,2.47058823529412,1.8823529411764701,4.4705882352941195
beauty,1.94117647058824,0.9411764705882351,2.35294117647059,1.76470588235294,4.94117647058824
beginning,2.0,0.625,1.375,0.875,3.0
blame,2.35294117647059,0.17647058823529402,0.529411764705882,0.41176470588235303,2.29411764705882
blanket,0.35294117647058804,0.17647058823529402,4.23529411764706,1.64705882352941,4.0
border,0.375,0.0625,1.875,0.25,3.6875
bore,1.8823529411764701,0.47058823529411803,0.647058823529412,0.41176470588235303,2.11764705882353
bother,1.8823529411764701,0.529411764705882,1.05882352941176,0.41176470588235303,2.58823529411765
business,1.82352941176471,0.29411764705882404,0.647058823529412,0.47058823529411803,3.52941176470588
call,4.4705882352941195,0.0588235294117647,1.0,0.17647058823529402,2.17647058823529
capacity,1.4375,0.5,2.8125,0.5,3.94117647058824
career,2.11764705882353,0.41176470588235303,0.8823529411764711,0.41176470588235303,3.11764705882353
cast,1.5882352941176499,0.17647058823529402,1.29411764705882,0.5882352941176471,3.58823529411765
center,0.7058823529411771,0.47058823529411803,2.29411764705882,0.35294117647058804,4.0
chain,2.125,0.1875,3.8125,0.46666666666666706,4.3125
chair,0.7058823529411771,0.0588235294117647,4.23529411764706,0.41176470588235303,4.64705882352941
city,4.0,1.05882352941176,1.52941176470588,2.58823529411765,4.70588235294118
closer,2.29411764705882,0.647058823529412,2.82352941176471,1.52941176470588,3.70588235294118
collection,1.35294117647059,0.29411764705882404,2.35294117647059,0.529411764705882,3.70588235294118
competition,2.58823529411765,0.47058823529411803,0.8823529411764711,0.8235294117647061,3.52941176470588
concept,2.35294117647059,1.0,1.1176470588235299,0.8823529411764711,2.7647058823529402
consequence,2.70588235294118,0.8823529411764711,1.47058823529412,0.7058823529411771,3.58823529411765
contact,2.52941176470588,1.05882352941176,3.52941176470588,1.1176470588235299,3.41176470588235
cope,1.1176470588235299,0.17647058823529402,0.8235294117647061,0.35294117647058804,2.05882352941176
core,0.8235294117647061,0.7058823529411771,1.82352941176471,0.47058823529411803,2.7647058823529402
cost,1.5882352941176499,0.41176470588235303,0.8823529411764711,0.35294117647058804,3.2352941176470598
cup,1.17647058823529,1.23529411764706,3.94117647058824,1.05882352941176,4.23529411764706
cut,1.17647058823529,0.35294117647058804,3.52941176470588,0.529411764705882,3.70588235294118
dance,2.17647058823529,0.0,2.17647058823529,0.23529411764705901,4.64705882352941
deal,2.0,0.29411764705882404,1.0,0.41176470588235303,2.41176470588235
deck,1.0,0.11764705882352901,2.0,0.41176470588235303,3.41176470588235
democracy,2.29411764705882,0.0,0.17647058823529402,0.0588235294117647,2.82352941176471
department,1.5882352941176499,0.17647058823529402,0.47058823529411803,0.8823529411764711,3.58823529411765
development,2.11764705882353,1.29411764705882,1.64705882352941,1.1176470588235299,3.7647058823529402
direction,2.29411764705882,0.29411764705882404,1.41176470588235,0.764705882352941,4.05882352941176
dispute,3.2352941176470598,0.11764705882352901,0.8235294117647061,0.17647058823529402,3.58823529411765
distinction,2.17647058823529,1.47058823529412,1.94117647058824,1.52941176470588,2.94117647058824
dive,2.0,0.17647058823529402,1.76470588235294,0.41176470588235303,3.88235294117647
doctor,3.0,0.7058823529411771,1.64705882352941,1.29411764705882,4.4705882352941195
drama,3.2352941176470598,0.23529411764705901,0.9411764705882351,0.41176470588235303,3.94117647058824
dream,2.17647058823529,0.529411764705882,0.8235294117647061,0.764705882352941,3.17647058823529
duty,1.5882352941176499,0.17647058823529402,0.47058823529411803,0.35294117647058804,2.41176470588235
economy,1.8823529411764701,0.0588235294117647,0.47058823529411803,0.125,2.11764705882353
edge,0.529411764705882,0.17647058823529402,3.58823529411765,0.11764705882352901,3.94117647058824
education,3.70588235294118,0.529411764705882,1.05882352941176,0.5882352941176471,3.94117647058824
emotion,2.88235294117647,0.9411764705882351,2.41176470588235,0.764705882352941,3.64705882352941
enthusiasm,3.29411764705882,0.529411764705882,1.29411764705882,0.529411764705882,3.70588235294118
entrance,1.0,0.17647058823529402,1.8823529411764701,0.647058823529412,4.35294117647059
equipment,1.52941176470588,0.41176470588235303,3.35294117647059,0.8823529411764711,4.23529411764706
estimate,1.5882352941176499,0.8235294117647061,1.5882352941176499,0.7058823529411771,2.70588235294118
exchange,1.8823529411764701,0.529411764705882,1.76470588235294,0.647058823529412,3.17647058823529
excitement,3.52941176470588,1.17647058823529,2.17647058823529,1.29411764705882,3.94117647058824
expansion,1.70588235294118,0.47058823529411803,2.8125,0.41176470588235303,3.94117647058824
extreme,2.2352941176470598,1.5882352941176499,1.94117647058824,1.82352941176471,3.41176470588235
eye,0.0588235294117647,0.0,2.2352941176470598,0.0,4.76470588235294
fact,3.35294117647059,0.647058823529412,1.17647058823529,1.05882352941176,3.35294117647059
factory,3.17647058823529,0.5882352941176471,1.47058823529412,3.05882352941176,4.58823529411765
failure,2.41176470588235,0.9411764705882351,1.29411764705882,0.7058823529411771,3.47058823529412
faint,1.05882352941176,0.41176470588235303,2.05882352941176,0.29411764705882404,3.0
fear,2.17647058823529,0.7058823529411771,1.8823529411764701,0.8235294117647061,3.47058823529412
feel,1.23529411764706,1.125,4.76470588235294,0.764705882352941,1.94117647058824
file,0.764705882352941,0.11764705882352901,2.41176470588235,0.23529411764705901,4.05882352941176
finance,1.17647058823529,0.23529411764705901,1.17647058823529,0.17647058823529402,2.94117647058824
find,1.76470588235294,0.647058823529412,3.11764705882353,1.64705882352941,3.94117647058824
finish,2.2352941176470598,0.7058823529411771,1.0,0.7058823529411771,3.35294117647059
food,1.47058823529412,4.88235294117647,3.41176470588235,4.5294117647058805,4.29411764705882
form,0.8823529411764711,0.41176470588235303,2.0,0.47058823529411803,3.2352941176470598
formation,0.8823529411764711,0.47058823529411803,1.5882352941176499,0.35294117647058804,3.7647058823529402
friend,4.11764705882353,0.35294117647058804,3.05882352941176,2.05882352941176,4.76470588235294
function,2.0,0.7058823529411771,1.52941176470588,0.7058823529411771,3.11764705882353
gesture,0.8235294117647061,0.0588235294117647,1.94117647058824,0.11764705882352901,4.5294117647058805
glass,2.05882352941176,0.35294117647058804,3.82352941176471,0.23529411764705901,4.4705882352941195
grade,1.05882352941176,0.0588235294117647,0.41176470588235303,0.11764705882352901,2.7647058823529402
grass,0.647058823529412,0.35294117647058804,3.70588235294118,3.05882352941176,4.70588235294118
guilt,1.29411764705882,0.29411764705882404,1.0,0.35294117647058804,2.2352941176470598
hat,0.35294117647058804,0.0,3.29411764705882,0.647058823529412,4.58823529411765
health,1.5882352941176499,0.647058823529412,2.3125,1.1875,3.64705882352941
heaven,1.76470588235294,0.5882352941176471,0.8823529411764711,0.8235294117647061,1.52941176470588
hide,1.05882352941176,0.17647058823529402,1.29411764705882,0.41176470588235303,3.29411764705882
hole,0.41176470588235303,0.0588235294117647,2.58823529411765,0.47058823529411803,4.23529411764706
honey,0.647058823529412,4.76470588235294,2.82352941176471,3.7647058823529402,4.11764705882353
hour,1.41176470588235,0.0588235294117647,0.23529411764705901,0.11764705882352901,2.7647058823529402
impression,2.58823529411765,0.9411764705882351,1.0,1.29411764705882,3.70588235294118
inch,0.17647058823529402,0.0588235294117647,2.29411764705882,0.0588235294117647,4.0
incident,3.11764705882353,0.47058823529411803,1.41176470588235,1.35294117647059,4.17647058823529
income,1.1176470588235299,0.47058823529411803,0.8823529411764711,0.11764705882352901,3.0
increase,2.29411764705882,1.1176470588235299,2.2352941176470598,1.29411764705882,3.7647058823529402
independence,2.11764705882353,0.29411764705882404,0.9411764705882351,0.29411764705882404,3.29411764705882
influence,1.94117647058824,0.35294117647058804,0.8823529411764711,0.35294117647058804,2.58823529411765
instance,0.8823529411764711,0.17647058823529402,0.529411764705882,0.529411764705882,1.64705882352941
interior,0.7058823529411771,0.23529411764705901,3.0,1.35294117647059,4.58823529411765
junior,2.05882352941176,0.23529411764705901,1.17647058823529,0.764705882352941,2.94117647058824
kind,2.5,0.25,1.9375,0.375,2.8125
left,1.23529411764706,0.17647058823529402,1.76470588235294,0.17647058823529402,3.41176470588235
life,3.82352941176471,2.94117647058824,3.41176470588235,3.2352941176470598,4.35294117647059
load,0.8235294117647061,0.47058823529411803,2.0,0.5882352941176471,2.94117647058824
look,0.529411764705882,0.17647058823529402,0.9411764705882351,0.35294117647058804,4.76470588235294
loop,1.05882352941176,0.23529411764705901,2.7647058823529402,0.23529411764705901,3.70588235294118
machine,3.7647058823529402,0.23529411764705901,2.88235294117647,1.52941176470588,4.23529411764706
management,2.82352941176471,0.11764705882352901,0.35294117647058804,0.35294117647058804,3.52941176470588
march,2.35294117647059,0.23529411764705901,0.529411764705882,0.529411764705882,3.05882352941176
master,2.7647058823529402,0.29411764705882404,0.7058823529411771,0.41176470588235303,3.4375
mate,3.05882352941176,0.41176470588235303,2.82352941176471,1.52941176470588,4.4705882352941195
matter,1.5,1.13333333333333,2.125,1.4375,2.625
method,2.17647058823529,0.23529411764705901,0.8235294117647061,0.29411764705882404,3.05882352941176
minute,1.76470588235294,0.0588235294117647,0.23529411764705901,0.17647058823529402,2.7647058823529402
miss,1.82352941176471,0.41176470588235303,1.64705882352941,0.529411764705882,2.88235294117647
missile,3.58823529411765,0.0588235294117647,1.23529411764706,0.764705882352941,4.0
money,1.47058823529412,0.35294117647058804,3.70588235294118,1.17647058823529,4.82352941176471
mouth,2.2352941176470598,3.29411764705882,3.11764705882353,1.23529411764706,3.52941176470588
muscle,0.5882352941176471,0.35294117647058804,4.05882352941176,0.35294117647058804,4.0
night,1.64705882352941,0.11764705882352901,0.47058823529411803,0.47058823529411803,4.76470588235294
orderly,1.46666666666667,0.133333333333333,1.0,0.14285714285714302,3.06666666666667
past,2.29411764705882,0.647058823529412,0.5882352941176471,0.8235294117647061,2.17647058823529
permission,2.7647058823529402,0.23529411764705901,0.647058823529412,0.29411764705882404,2.11764705882353
